comparison_method,mean_delta_comparison_minus_frost_deg,median_delta_comparison_minus_frost_deg,comparison_win_rate_pct,frost_win_rate_pct,tie_rate_pct,n
SubspaceNet + residual selector,2.2403334978666902,1.372870340411339,23.416666666666668,76.58333333333334,0.0,1200
SOMP + MDL,4.735752447227323,0.5712796311606997,22.583333333333332,75.66666666666667,1.7500000000000002,1200
Root-MUSIC + MDL,4.842885797770617,0.12820324604553707,35.0,65.0,0.0,1200
Toeplitz-MUSIC + MDL,5.00950800753199,0.018691991544022443,13.583333333333334,52.166666666666664,34.25,1200
ESPRIT + MDL,5.237084726928941,0.4781472048011737,25.916666666666664,74.08333333333333,0.0,1200
FBSS-MUSIC + MDL,6.190544308570188,0.4309575407760733,27.416666666666668,71.5,1.0833333333333335,1200
MUSIC + MDL,8.90255063741345,3.1881032636615956,23.0,68.66666666666667,8.333333333333332,1200
DA-MUSIC + MDL,11.780998284204736,12.63720921096494,10.0,90.0,0.0,1200
SBL + MDL,14.994450450855346,13.351525928527558,15.5,84.5,0.0,1200
