sample_id,scenario,true_K,method,display_name,set_rmse,set_mae,k_hat,k_acc,k_abs_err,outlier_5deg
U1_clean_K1#0039,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.0275585483582787,0.0275585483582787,1,1.0,0,0.0
U1_clean_K1#0040,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.0900069927549758,0.0900069927549758,1,1.0,0,0.0
U1_clean_K1#0041,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.2227787329355806,0.2227787329355806,1,1.0,0,0.0
U1_clean_K1#0042,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.2699141197584715,0.2699141197584715,1,1.0,0,0.0
U1_clean_K1#0043,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.1580624116776547,0.1580624116776547,1,1.0,0,0.0
U1_clean_K1#0044,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.0197758366894298,0.0197758366894298,1,1.0,0,0.0
U1_clean_K1#0045,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.0525777994072171,0.0525777994072171,1,1.0,0,0.0
U1_clean_K1#0046,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.127322999605596,0.127322999605596,1,1.0,0,0.0
U1_clean_K1#0047,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.1570583933783957,0.1570583933783957,1,1.0,0,0.0
U1_clean_K1#0048,U1_clean_K1,1,FROST-DOA,FROST-DOA,2.0354484654205866e-05,2.0354484654205866e-05,1,1.0,0,0.0
U1_clean_K1#0049,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.0832157935266657,0.0832157935266657,1,1.0,0,0.0
U1_clean_K1#0050,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.0057661836927751,0.0057661836927751,1,1.0,0,0.0
U1_clean_K1#0051,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.1882654601956943,0.1882654601956943,1,1.0,0,0.0
U1_clean_K1#0052,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.0350480563963557,0.0350480563963557,1,1.0,0,0.0
U1_clean_K1#0053,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.105224555496294,0.105224555496294,1,1.0,0,0.0
U1_clean_K1#0054,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.041231120591533,0.041231120591533,1,1.0,0,0.0
U1_clean_K1#0055,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.142614681832498,0.142614681832498,1,1.0,0,0.0
U1_clean_K1#0056,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.138078111790719,0.138078111790719,1,1.0,0,0.0
U1_clean_K1#0057,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.098007342299647,0.098007342299647,1,1.0,0,0.0
U1_clean_K1#0058,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.1293459998426378,0.1293459998426378,1,1.0,0,0.0
U1_clean_K1#0059,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.0106621684558447,0.0106621684558447,1,1.0,0,0.0
U1_clean_K1#0060,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.2087240932162188,0.2087240932162188,1,1.0,0,0.0
U1_clean_K1#0061,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.0579811613412157,0.0579811613412157,1,1.0,0,0.0
U1_clean_K1#0062,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.0832225145469323,0.0832225145469323,1,1.0,0,0.0
U1_clean_K1#0063,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.1200024032693356,0.1200024032693356,1,1.0,0,0.0
U1_clean_K1#0064,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.1636086176854476,0.1636086176854476,1,1.0,0,0.0
U1_clean_K1#0065,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.1487392394674387,0.1487392394674387,1,1.0,0,0.0
U1_clean_K1#0066,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.0245539208496143,0.0245539208496143,1,1.0,0,0.0
U1_clean_K1#0067,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.1438444585928611,0.1438444585928611,1,1.0,0,0.0
U1_clean_K1#0068,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.0326797136429988,0.0326797136429988,1,1.0,0,0.0
U1_clean_K1#0069,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.1424482859704952,0.1424482859704952,1,1.0,0,0.0
U1_clean_K1#0070,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.3481693192356979,0.3481693192356979,1,1.0,0,0.0
U1_clean_K1#0071,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.1365025063504674,0.1365025063504674,1,1.0,0,0.0
U1_clean_K1#0072,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.2228914180984773,0.2228914180984773,1,1.0,0,0.0
U1_clean_K1#0073,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.0899804653971401,0.0899804653971401,1,1.0,0,0.0
U1_clean_K1#0074,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.1220898197105953,0.1220898197105953,1,1.0,0,0.0
U1_clean_K1#0075,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.0573913495122813,0.0573913495122813,1,1.0,0,0.0
U1_clean_K1#0076,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.0832721106704639,0.0832721106704639,1,1.0,0,0.0
U1_clean_K1#0077,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.128137693621845,0.128137693621845,1,1.0,0,0.0
U1_clean_K1#0078,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.0667487181891957,0.0667487181891957,1,1.0,0,0.0
U1_clean_K1#0079,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.0708285511047108,0.0708285511047108,1,1.0,0,0.0
U1_clean_K1#0080,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.275079041846844,0.275079041846844,1,1.0,0,0.0
U1_clean_K1#0081,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.2010039166666029,0.2010039166666029,1,1.0,0,0.0
U1_clean_K1#0082,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.0721100866536303,0.0721100866536303,1,1.0,0,0.0
U1_clean_K1#0083,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.243683640477851,0.243683640477851,1,1.0,0,0.0
U1_clean_K1#0084,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.0792163447094012,0.0792163447094012,1,1.0,0,0.0
U1_clean_K1#0085,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.2356563002337406,0.2356563002337406,1,1.0,0,0.0
U1_clean_K1#0086,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.3389772581042436,0.3389772581042436,1,1.0,0,0.0
U1_clean_K1#0087,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.1684992961791849,0.1684992961791849,1,1.0,0,0.0
U1_clean_K1#0088,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.075939495464496,0.075939495464496,1,1.0,0,0.0
U1_clean_K1#0089,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.1892368388589105,0.1892368388589105,1,1.0,0,0.0
U1_clean_K1#0090,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.1673379138453015,0.1673379138453015,1,1.0,0,0.0
U1_clean_K1#0091,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.034758173333639,0.034758173333639,1,1.0,0,0.0
U1_clean_K1#0092,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.0752053593774562,0.0752053593774562,1,1.0,0,0.0
U1_clean_K1#0093,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.0297112304092657,0.0297112304092657,1,1.0,0,0.0
U1_clean_K1#0094,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.0734802122996676,0.0734802122996676,1,1.0,0,0.0
U1_clean_K1#0095,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.1007689285141388,0.1007689285141388,1,1.0,0,0.0
U1_clean_K1#0096,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.1883943988203853,0.1883943988203853,1,1.0,0,0.0
U1_clean_K1#0097,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.024974192485395,0.024974192485395,1,1.0,0,0.0
U1_clean_K1#0098,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.1272510211502344,0.1272510211502344,1,1.0,0,0.0
U1_clean_K1#0099,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.1147526239312597,0.1147526239312597,1,1.0,0,0.0
U2_clean_K2#0000,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.0402511239713219,0.035436515009195,2,1.0,0,0.0
